Time;"S(0l)";"S(l/2)";"S(0l)An";"S(l/2)An";
0;0;0;0;0;
9,11412e-09;0;0;0;0;
1,82282e-08;0;0;0;0;
2,73424e-08;0;0;0;0;
3,64565e-08;0;0;0;0;
4,55706e-08;0;0;0;0;
5,46847e-08;0;0;0;0;
6,37989e-08;0;0;0;0;
7,2913e-08;0;0;0;0;
8,20271e-08;0;0;0;0;
9,11412e-08;0;0;0;0;
1,00255e-07;0;0;0;0;
1,09369e-07;0;0;0;0;
1,18484e-07;0;0;0;0;
1,27598e-07;0;0;0;0;
1,36712e-07;0;0;0;0;
1,45826e-07;0;0;0;0;
1,5494e-07;0;0;0;0;
1,64054e-07;0;0;0;0;
1,73168e-07;0;0;0;0;
1,82282e-07;0;0;0;0;
1,91397e-07;0;0;0;0;
2,00511e-07;0;0;0;0;
2,09625e-07;0;0;0;0;
2,18739e-07;0;0;0;0;
2,27853e-07;0;0;0;0;
2,36967e-07;0;0;0;0;
2,46081e-07;0;0;0;0;
2,55195e-07;0;0;0;0;
2,6431e-07;0;0;0;0;
2,73424e-07;0;0;0;0;
2,82538e-07;0;0;0;0;
2,91652e-07;0;0;0;0;
3,00766e-07;0;0;0;0;
3,0988e-07;0;0;0;0;
3,18994e-07;0;0;0;0;
3,28108e-07;0;0;0;0;
3,37223e-07;0;0;0;0;
3,46337e-07;0;0;0;0;
3,55451e-07;0;0;0;0;
3,64565e-07;0;0;0;0;
3,73679e-07;0;0;0;0;
3,82793e-07;0;0;0;0;
3,91907e-07;0;0;0;0;
4,01021e-07;0;0;0;0;
4,10136e-07;0;0;0;0;
4,1925e-07;0;0;0;0;
4,28364e-07;0;0;0;0;
4,37478e-07;0;0;0;0;
4,46592e-07;0;0;0;0;
4,55706e-07;0;0;0;0;
4,6482e-07;0;0;0;0;
4,73934e-07;0;0;0;0;
4,83049e-07;0;0;0;0;
4,92163e-07;0;0;0;0;
5,01277e-07;0;0;0;0;
5,10391e-07;0;0;0;0;
5,19505e-07;0;0;0;0;
5,28619e-07;0;0;0;0;
5,37733e-07;0;0;0;0;
5,46847e-07;0;0;0;0;
5,55962e-07;0;0;0;0;
5,65076e-07;0;0;0;0;
5,7419e-07;0;0;0;0;
5,83304e-07;0;0;0;0;
5,92418e-07;0;0;0;0;
6,01532e-07;0;0;0;0;
6,10646e-07;0;0;0;0;
6,1976e-07;0;0;0;0;
6,28875e-07;0;0;0;0;
6,37989e-07;0;0;0;0;
6,47103e-07;0;0;0;0;
6,56217e-07;0;0;0;0;
6,65331e-07;0;0;0;0;
6,74445e-07;0;0;0;0;
6,83559e-07;0;0;0;0;
6,92673e-07;0;0;0;0;
7,01788e-07;0;0;0;0;
7,10902e-07;0;0;0;0;
7,20016e-07;0;0;0;0;
7,2913e-07;0;0;0;0;
7,38244e-07;0;0;0;0;
7,47358e-07;0;0;0;0;
7,56472e-07;0;0;0;0;
7,65586e-07;0;0;0;0;
7,747e-07;0;0;0;0;
7,83815e-07;0;0;0;0;
7,92929e-07;0;0;0;0;
8,02043e-07;0;0;0;0;
8,11157e-07;0;0;0;0;
8,20271e-07;0;0;0;0;
8,29385e-07;0;0;0;0;
8,38499e-07;0;0;0;0;
8,47613e-07;0;0;0;0;
8,56728e-07;0;0;0;0;
8,65842e-07;0;0;0;0;
8,74956e-07;0;0;0;0;
8,8407e-07;0;0;0;0;
8,93184e-07;0;0;0;0;
9,02298e-07;0;0;0;0;
9,11412e-07;0;0;0;0;
9,20526e-07;0;0;0;0;
9,29641e-07;0;0;0;0;
9,38755e-07;0;0;0;0;
9,47869e-07;0;0;0;0;
9,56983e-07;0;0;0;0;
9,66097e-07;0;0;0;0;
9,75211e-07;0;0;0;0;
9,84325e-07;0;0;0;0;
9,93439e-07;0;0;0;0;
1,00255e-06;0;0;0;0;
1,01167e-06;0;0;0;0;
1,02078e-06;0;0;0;0;
1,0299e-06;0;0;0;0;
1,03901e-06;0;0;0;0;
1,04812e-06;0;0;0;0;
1,05724e-06;0;0;0;0;
1,06635e-06;0;0;0;0;
1,07547e-06;0;0;0;0;
1,08458e-06;0;0;0;0;
1,09369e-06;0;0;0;0;
1,10281e-06;0;0;0;0;
1,11192e-06;0;0;0;0;
1,12104e-06;0;0;0;0;
1,13015e-06;0;0;0;0;
1,13927e-06;0;0;0;0;
1,14838e-06;0;0;0;0;
1,15749e-06;0;0;0;0;
1,16661e-06;0;0;0;0;
1,17572e-06;0;0;0;0;
1,18484e-06;0;0;0;0;
1,19395e-06;0;0;0;0;
1,20306e-06;0;0;0;0;
1,21218e-06;0;0;0;0;
1,22129e-06;0;0;0;0;
1,23041e-06;0;0;0;0;
1,23952e-06;0;0;0;0;
1,24863e-06;0;0;0;0;
1,25775e-06;0;0;0;0;
1,26686e-06;0;0;0;0;
1,27598e-06;0;0;0;0;
1,28509e-06;0;0;0;0;
1,29421e-06;0;0;0;0;
1,30332e-06;0;0;0;0;
1,31243e-06;0;0;0;0;
