Time;"S(0l)";"S(l/2)";"S(0l)An";"S(l/2)An"
0;0;0;0;0;
9,20526e-07;0;0;0;0;
1,84105e-06;0;0;0;0;
2,76158e-06;0;0;0;0;
3,68211e-06;0;0;0;0;
4,60263e-06;0;0;0;0;
5,52316e-06;0;0;0;0;
6,44369e-06;0;0;0;0;
7,36421e-06;0;0;0;0;
8,28474e-06;0;0;0;0;
9,20526e-06;0;0;0;0;
1,01258e-05;0;0;0;0;
1,10463e-05;0;0;0;0;
1,19668e-05;0;0;0;0;
1,28874e-05;0;0;0;0;
1,38079e-05;0;0;0;0;
1,47284e-05;0;0;0;0;
1,56489e-05;0;0;0;0;
1,65695e-05;0;0;0;0;
1,749e-05;0;0;0;0;
1,84105e-05;0;0;0;0;
1,93311e-05;0;0;0;0;
2,02516e-05;0;0;0;0;
2,11721e-05;0;0;0;0;
2,20926e-05;0;0;0;0;
2,30132e-05;0;0;0;0;
2,39337e-05;0;5,40175e-21;0;0;
2,48542e-05;0;1,04263e-17;0;0;
2,57747e-05;0;3,4571e-15;0;0;
2,66953e-05;0;4,72034e-13;0;0;
2,76158e-05;0;3,55011e-11;0;0;
2,85363e-05;0;1,70592e-09;0;0;
2,94568e-05;0;5,73139e-08;0;0;
3,03774e-05;0;1,43016e-06;0;0;
3,12979e-05;0;2,76749e-05;0;0;
3,22184e-05;0;0,000428928;0;0;
3,3139e-05;0;0,00545904;0;0;
3,40595e-05;0;0,0581927;0;0;
3,498e-05;0;0,527938;0;0;
3,59005e-05;0;4,13007;0;0;
3,68211e-05;0;28,1662;0;0;
3,77416e-05;0;168,993;0;0;
3,86621e-05;0;898,943;0;0;
3,95826e-05;0;4267,49;0;0;
4,05032e-05;0;18181;0;0;
4,14237e-05;0;69845,2;0;0;
4,23442e-05;0;242935;0;0;
4,32647e-05;0;767668;0;0;
4,41853e-05;0;2,21025e+06;0;0;
4,51058e-05;0;5,81226e+06;0;0;
4,60263e-05;0;1,39878e+07;0;0;
4,69468e-05;1,35839e-47;3,08578e+07;0;0;
4,78674e-05;3,35213e-44;6,24853e+07;0;0;
4,87879e-05;2,52205e-41;1,16276e+08;0;0;
4,97084e-05;9,17953e-39;1,99059e+08;0;0;
5,0629e-05;1,97924e-36;3,13884e+08;0;0;
5,15495e-05;2,83563e-34;4,56585e+08;0;1e+09;
5,247e-05;2,90696e-32;6,14032e+08;0;1e+09;
5,33905e-05;2,24563e-30;7,66001e+08;0;1e+09;
5,43111e-05;1,35809e-28;8,9107e+08;0;1e+09;
5,52316e-05;6,62117e-27;9,74477e+08;0;1e+09;
5,61521e-05;2,66335e-25;1,014e+09;0;1e+09;
5,70726e-05;9,00665e-24;1,02018e+09;0;1e+09;
5,79932e-05;2,60061e-22;1,01035e+09;0;1e+09;
5,89137e-05;6,4955e-21;9,99812e+08;0;1e+09;
5,98342e-05;1,41898e-19;9,95796e+08;0;1e+09;
6,07547e-05;2,73711e-18;9,9738e+08;0;1e+09;
6,16753e-05;4,70045e-17;1,00017e+09;0;1e+09;
6,25958e-05;7,23855e-16;1,00121e+09;0;1e+09;
6,35163e-05;1,00597e-14;1,00056e+09;0;1e+09;
6,44369e-05;1,2688e-13;9,99723e+08;0;1e+09;
6,53574e-05;1,45965e-12;9,99611e+08;0;1e+09;
6,62779e-05;1,53856e-11;9,99954e+08;0;1e+09;
6,71984e-05;1,49191e-10;1,00016e+09;0;1e+09;
6,8119e-05;1,33576e-09;1,00007e+09;0;1e+09;
6,90395e-05;1,10791e-08;9,99942e+08;0;1e+09;
6,996e-05;8,53862e-08;9,99939e+08;0;1e+09;
7,08805e-05;6,13147e-07;1e+09;0;1e+09;
7,18011e-05;4,1127e-06;1,00003e+09;0;1e+09;
7,27216e-05;2,58268e-05;9,99998e+08;0;1e+09;
7,36421e-05;0,000152163;9,99981e+08;0;1e+09;
7,45626e-05;0,000842721;9,99991e+08;0;1e+09;
7,54832e-05;0,00439501;1e+09;0;1e+09;
7,64037e-05;0,0216196;1e+09;0;1e+09;
7,73242e-05;0,100461;9,99993e+08;0;1e+09;
7,82447e-05;0,441574;9,99994e+08;0;1e+09;
7,91653e-05;1,83831;9,99998e+08;0;1e+09;
8,00858e-05;7,25677;9,99998e+08;0;1e+09;
8,10063e-05;27,1919;9,99996e+08;0;1e+09;
8,19269e-05;96,8122;9,99996e+08;0;1e+09;
8,28474e-05;327,791;9,99997e+08;0;1e+09;
8,37679e-05;1056,31;9,99998e+08;0;1e+09;
8,46884e-05;3242,08;9,99997e+08;0;1e+09;
8,5609e-05;9483,74;9,99997e+08;0;1e+09;
8,65295e-05;26455,2;9,99997e+08;0;1e+09;
8,745e-05;70410,9;9,99998e+08;0;1e+09;
8,83705e-05;178879;9,99997e+08;0;1e+09;
8,92911e-05;433945;9,99997e+08;0;1e+09;
9,02116e-05;1,00556e+06;9,99998e+08;0;1e+09;
9,11321e-05;2,22632e+06;9,99998e+08;0;1e+09;
9,20527e-05;4,71048e+06;9,99998e+08;0;1e+09;
9,29732e-05;9,52592e+06;9,99998e+08;0;1e+09;
9,38937e-05;1,84145e+07;9,99998e+08;0;1e+09;
9,48143e-05;3,40293e+07;9,99998e+08;0;1e+09;
9,57349e-05;6,01185e+07;9,99998e+08;0;1e+09;
9,66555e-05;1,01541e+08;9,99998e+08;0;1e+09;
9,75762e-05;1,63974e+08;9,99998e+08;0;1e+09;
9,8497e-05;2,53195e+08;9,99998e+08;0;1e+09;
9,9418e-05;3,73905e+08;9,99998e+08;0;1e+09;
ÿ
