Time;"U(l)";"U(l/2)";"U(l)A";"U(l/2)A";
0;0;0;0;0;
9,11412e-09;0;0;3,41806e-07;0;
1,82282e-08;3,33261e-07;0;6,83613e-07;0;
2,73424e-08;8,00623e-07;0;1,02542e-06;0;
3,64565e-08;1,01558e-06;0;1,36723e-06;0;
4,55706e-08;1,36143e-06;0;1,70903e-06;0;
5,46847e-08;1,80387e-06;0;2,05084e-06;0;
6,37989e-08;2,06984e-06;0;2,39264e-06;0;
7,2913e-08;2,38363e-06;0;2,73445e-06;0;
8,20271e-08;2,80901e-06;0;3,07626e-06;0;
9,11412e-08;3,11599e-06;0;3,41806e-06;0;
1,00255e-07;3,4134e-06;0;3,75987e-06;0;
1,09369e-07;3,81612e-06;0;4,10168e-06;0;
1,18484e-07;4,15325e-06;0;4,44348e-06;0;
1,27598e-07;4,44826e-06;0;4,78529e-06;0;
1,36712e-07;4,82732e-06;0;5,12709e-06;0;
1,45826e-07;5,18311e-06;0;5,4689e-06;0;
1,5494e-07;5,48491e-06;0;5,81071e-06;0;
1,64054e-07;5,84359e-06;0;6,15251e-06;0;
1,73168e-07;6,20791e-06;0;6,49432e-06;0;
1,82282e-07;6,52084e-06;0;6,83613e-06;0;
1,91397e-07;6,86464e-06;0;7,17793e-06;0;
2,00511e-07;7,22998e-06;0;7,51974e-06;0;
2,09625e-07;7,55465e-06;0;7,86155e-06;0;
2,18739e-07;7,88947e-06;0;8,20335e-06;0;
2,27853e-07;8,25122e-06;0;8,54516e-06;0;
2,36967e-07;8,58587e-06;0;8,88696e-06;0;
2,46081e-07;8,91679e-06;0;9,22877e-06;0;
2,55195e-07;9,27291e-06;0;9,57058e-06;0;
2,6431e-07;9,61471e-06;0;9,91238e-06;0;
2,73424e-07;9,94538e-06;0;1,02542e-05;0;
2,82538e-07;1,02957e-05;0;1,0596e-05;0;
2,91652e-07;1,06417e-05;0;1,09378e-05;0;
3,00766e-07;1,09743e-05;0;1,12796e-05;0;
3,0988e-07;1,13198e-05;0;1,16214e-05;0;
3,18994e-07;1,16676e-05;0;1,19632e-05;0;
3,28108e-07;1,2003e-05;0;1,2305e-05;0;
3,37223e-07;1,2345e-05;0;1,26468e-05;0;
3,46337e-07;1,26928e-05;0;1,29886e-05;0;
3,55451e-07;1,30311e-05;0;1,33304e-05;0;
3,64565e-07;1,33712e-05;0;1,36723e-05;0;
3,73679e-07;1,37179e-05;0;1,40141e-05;0;
3,82793e-07;1,40586e-05;0;1,43559e-05;0;
3,91907e-07;1,43979e-05;0;1,46977e-05;0;
4,01021e-07;1,47432e-05;0;1,50395e-05;0;
4,10136e-07;1,50855e-05;0;1,53813e-05;0;
4,1925e-07;1,54248e-05;0;1,57231e-05;0;
4,28364e-07;1,57687e-05;0;1,60649e-05;0;
