Time;"U(l)";"U(l/2)";"U(l)A";"U(l/2)A"
0;0;0;0;0;
9,20526e-07;0;0;3,45224e-05;0;
1,84105e-06;3,36594e-05;0;6,90449e-05;0;
2,76158e-06;8,0863e-05;0;0,000103567;0;
3,68211e-06;0,000102573;0;0,00013809;0;
4,60263e-06;0,000137504;0;0,000172612;0;
5,52316e-06;0,000182191;0;0,000207135;0;
6,44369e-06;0,000209054;0;0,000241657;0;
7,36421e-06;0,000240747;0;0,00027618;0;
8,28474e-06;0,00028371;0;0,000310702;0;
9,20526e-06;0,000314715;0;0,000345224;0;
1,01258e-05;0,000344753;0;0,000379747;0;
1,10463e-05;0,000385428;0;0,000414269;0;
1,19668e-05;0,000419478;0;0,000448792;0;
1,28874e-05;0,000449274;0;0,000483314;0;
1,38079e-05;0,000487559;0;0,000517837;0;
1,47284e-05;0,000523494;0;0,000552359;0;
1,56489e-05;0,000553976;0;0,000586881;0;
1,65695e-05;0,000590202;0;0,000621404;0;
1,749e-05;0,000626999;0;0,000655926;0;
1,84105e-05;0,000658605;0;0,000690449;0;
1,93311e-05;0,000693329;0;0,000724971;0;
2,02516e-05;0,000730228;0;0,000759494;0;
2,11721e-05;0,000763019;0;0,000794016;0;
2,20926e-05;0,000796836;0;0,000828539;0;
2,30132e-05;0,000833373;0;0,000863061;0;
2,39337e-05;0,000867173;0;0,000897583;0;
2,48542e-05;0,000900595;3,41042e-33;0,000932106;0;
2,57747e-05;0,000936563;2,33413e-30;0,000966628;0;
2,66953e-05;0,000971086;4,9366e-28;0,00100115;0;
2,76158e-05;0,00100448;5,11533e-26;0,00103567;0;
2,85363e-05;0,00103987;3,17739e-24;0,0010702;0;
2,94568e-05;0,00107481;1,32587e-22;0,00110472;0;
3,03774e-05;0,00110841;3,99891e-21;0,00113924;0;
3,12979e-05;0,0011433;9,17215e-20;0,00117376;0;
3,22184e-05;0,00117842;1,66064e-18;0,00120829;0;
3,3139e-05;0,0012123;2,44167e-17;0,00124281;0;
3,40595e-05;0,00124685;2,98112e-16;0,00127733;0;
3,498e-05;0,00128197;3,0769e-15;0,00131185;0;
3,59005e-05;0,00131614;2,72418e-14;0,00134638;0;
3,68211e-05;0,00135049;2,09412e-13;0,0013809;0;
3,77416e-05;0,00138551;1,41196e-12;0,00141542;0;
3,86621e-05;0,00141992;8,42246e-12;0,00144994;0;
3,95826e-05;0,00145418;4,47754e-11;0,00148446;0;
4,05032e-05;0,00148906;2,13485e-10;0,00151899;0;
4,14237e-05;0,00152363;9,17894e-10;0,00155351;0;
4,23442e-05;0,00155791;3,57581e-09;0,00158803;0;
4,32647e-05;0,00159264;1,26739e-08;0,00162255;0;
4,41853e-05;0,00162731;4,10172e-08;0,00165708;0;
4,51058e-05;0,00166164;1,21599e-07;0,0016916;0;
4,60263e-05;0,00169626;3,31153e-07;0,00172612;0;
4,69468e-05;0,00173095;8,30554e-07;0,00176064;0;
4,78674e-05;0,00176536;1,92292e-06;0,00179517;0;
4,87879e-05;0,0017999;4,11883e-06;0,00182969;0;
4,97084e-05;0,00183459;8,18016e-06;0,00186421;0;
5,0629e-05;0,00186906;1,50984e-05;0,00189873;0;
5,15495e-05;0,00190356;2,5965e-05;0,00193326;3,45224e-05;
5,247e-05;0,00193822;4,17279e-05;0,00196778;6,90449e-05;
5,33905e-05;0,00197275;6,28888e-05;0,0020023;0,000103567;
5,43111e-05;0,00200723;8,92658e-05;0,00203682;0,00013809;
5,52316e-05;0,00204186;0,000119951;0,00207135;0,000172612;
5,61521e-05;0,00207643;0,000153534;0,00210587;0,000207135;
5,70726e-05;0,00211091;0,000188518;0,00214039;0,000241657;
5,79932e-05;0,00214551;0,000223756;0,00217491;0,00027618;
5,89137e-05;0,00218009;0,000258681;0,00220944;0,000310702;
5,98342e-05;0,00221459;0,000293246;0,00224396;0,000345224;
6,07547e-05;0,00224916;0,000327664;0,00227848;0,000379747;
6,16753e-05;0,00228375;0,000362126;0,002313;0,000414269;
6,25958e-05;0,00231827;0,000396682;0,00234753;0,000448792;
6,35163e-05;0,00235282;0,000431276;0,00238205;0,000483314;
6,44369e-05;0,00238741;0,000465852;0,00241657;0,000517837;
6,53574e-05;0,00242195;0,000500399;0,00245109;0,000552359;
6,62779e-05;0,00245649;0,000534941;0,00248562;0,000586881;
6,71984e-05;0,00249107;0,000569494;0,00252014;0,000621404;
6,8119e-05;0,00252562;0,000604054;0,00255466;0,000655926;
6,90395e-05;0,00256015;0,000638611;0,00258918;0,000690449;
6,996e-05;0,00259472;0,000673165;0,00262371;0,000724971;
7,08805e-05;0,00262928;0,000707718;0,00265823;0,000759494;
7,18011e-05;0,00266382;0,000742273;0,00269275;0,000794016;
7,27216e-05;0,00269838;0,000776829;0,00272727;0,000828539;
7,36421e-05;0,00273295;0,000811384;0,0027618;0,000863061;
7,45626e-05;0,00276749;0,000845938;0,00279632;0,000897583;
7,54832e-05;0,00280205;0,000880493;0,00283084;0,000932106;
7,64037e-05;0,00283661;0,000915048;0,00286536;0,000966628;
7,73242e-05;0,00287116;0,000949603;0,00289988;0,00100115;
7,82447e-05;0,00290571;0,000984158;0,00293441;0,00103567;
